category,num_products,avg_actual_price,avg_discounted_price,avg_discount_percentage,avg_rating,total_reviews
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|RoboticVacuums",2,44949.5,23449.5,45.0,4.25,0
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",6,9856.833333333334,5646.333333333333,43.666666666666664,4.033333333333333,0
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,3,813.3333333333334,793.0,3.0,4.033333333333333,0
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,12,15618.833333333334,7015.25,42.5,4.175,1043
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,11,743.5454545454545,409.54545454545456,40.81818181818182,3.9181818181818184,686
HomeImprovement|Electrical|Adapters&Multi-Outlets,1,999.0,425.0,57.0,4.0,0
HomeImprovement|Electrical|CordManagement,1,599.0,249.0,58.0,4.5,0
MusicalInstruments|Microphones|Condenser,2,1347.0,638.0,46.0,3.9,0
OfficeProducts|OfficeElectronics|Calculators|Basic,1,440.0,440.0,0.0,4.5,0
OfficeProducts|OfficeElectronics|Calculators|Financial&Business,1,535.0,535.0,0.0,4.4,0
OfficeProducts|OfficeElectronics|Calculators|Scientific,2,922.5,908.5,2.5,4.45,0
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper,1,99.0,99.0,0.0,4.3,388
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",1,2999.0,1399.0,53.0,4.3,0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",7,267.85714285714283,227.14285714285714,12.0,4.371428571428572,419
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",2,487.5,144.0,62.0,4.25,0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",4,150.0,141.25,5.75,4.4,0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",2,100.0,95.0,5.0,4.3,0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",1,225.0,225.0,0.0,4.1,0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",2,150.0,150.0,0.0,4.25,0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",2,260.0,255.0,5.0,4.15,0
